Branching,Height,EE,P50,P7
2,2,0.035898,0.033271,0.037669
2,3,0.05905,0.049701,0.0497
2,4,0.048026,0.088026,0.082883
2,5,0.088938,0.144603,0.179901
4,2,0.080846,0.112088,0.127019
4,3,0.293721,0.351052,0.321622
4,4,1.06656,1.37234,1.42748
4,5,4.04316,5.59622,6.30604
6,2,0.262841,0.293667,0.301195
6,3,1.23322,1.40281,1.5907
6,4,8.1731,17.2514,25.2664
6,5,39.9488,107.628,190.48
